○  2023~2025년 기관별 수상작 내역							
기관명	수상연도	수상내역	상금 (만원)	기업명 (기업이 아닐 시 작성X)	참가팀(팀명)	아이템명	아이템 내용(간단히)	활용 공공데이터(대표 2~3개)	분야 (아이디어 기획 / 제품 및 서비스 개발)
인천광역시	2025	최우수상	700		사운드 바텐더	AI 안경형 보청기	소음 속에서 화자를 구분하여 청각장애인들의  소통 문제를 해결하는 AI 안경형 보청기	립리딩(입모양) 음성 인식 데이터(과기부, NIA), 화자 인식용 음성 데이터(오디오-비주얼 포함)(과기부, NIA) Voxceleb2(KAIST)	제품 및 서비스 개발
인천광역시	2025	우수상	400		개인	시각장애인 스마트 점자 지팡이	시각 장애인의 안전한 길 찾기와 원활한 사물 인식을 위한 서비스와 노인의 편리한 대중교통 이용을 위한 대중교통 하이패스 지팡이	대중교통 이용인원수(국토부),  지하철 도착 정보(서울시), 전국 버스 도착 정보(공공데이터포털) 등	아이디어 기획
인천광역시	2025	우수상	400		방이김	줍다행(줍는 게 다행)	 도시 곳곳에 반복적으로 발생하는 쓰레기 문제를 시민 참여로 해결하고자 기획된 플로깅* 전용 경로 추천 서비스 플랫폼	인천시 10개 군구 무단투기 단속 CCTV 설치 현황(인천시), 인천광역시 공동주택 현황(인천시) 등	아이디어 기획
인천광역시	2025	장려상	300		MediAI	순주약방	 ‘손주약방’은 65세 이상 고령자, 특히 의료 인프라가 열악한 강화‧옹진 섬 지역 주민을 위해 설계된 AI 기반 건강관리 SaaS다.	주요 연령 계층별 추계인구 자료(인천시), 상병마스터(건강보험심사평가원), 노인주의약물(한국의약품안전관리원) 등	제품 및 서비스 개발
인천광역시	2025	장려상	300		에코히스트	Eum-Renaissance Incheon(이음-르네상스 인천) : ESG, 관광, 도시의 미래를 잇다	  Eum-Renaissance Incheon은 여행자의 이동 방식과 환경 감수성을 분석해, 인천공항 도착부터 관광, 숙박, 식사, 쇼핑까지 전 여정을 친환경적으로 설계합니다. 탄소 배출을 줄이고 지역경제를 살리는 여행을 인공지능이 도와주는 서비스	입국객 흐름(인천국제공항공사),  대기질/소음/PM2.5(인천환경공단) 등	아이디어 기획
인천광역시	2025	특별상(관광)	200		인하 맥가이버	접근성 기반 장애인 맞춤 배리어프리맵 서비스 ‘ BFree Buddy’	 접근성과 편의성을 고려한 관광지도 및 유사 장소 추천서비스 제공	인천광역시_버스노선별 정류장 현황(인천시), 인천광역시_시내버스 정류소 현황(인천시)	아이디어 기획
인천광역시	2025	특별상(환경)	200		개인	세틀인 인천 (SettleIn Incheon) 인천 생활가이드 	AI 기반 다국어 지원으로 인천시 외국인 주민의 분리수거, 생활정보, 커뮤니티 연결을 통합 지원하는 생활적응 앱	외국인 등록현황,  거주지역별 인구 통계,  행정구역 정보(인천시) 등	아이디어 기획
인천광역시	2025	특별상(공항)	200		에코히스트	Eum-Renaissance Incheon(이음-르네상스 인천) : ESG, 관광, 도시의 미래를 잇다	  Eum-Renaissance Incheon은 여행자의 이동 방식과 환경 감수성을 분석해, 인천공항 도착부터 관광, 숙박, 식사, 쇼핑까지 전 여정을 친환경적으로 설계, 탄소 배출을 줄이고 지역경제를 살리는 여행을 인공지능이 도와주는 서비스	입국객 흐름(인천국제공항공사),  대기질/소음/PM2.5(인천환경공단) 등	아이디어 기획
충청북도	2025	최우수상	300		라이즈업	안심동행 (AI 기반 충북 맞춤형 안심 귀갓길 내비게이션)	공공데이터+AI로 취약계층 대상 최적 안전 경로를 추천하고, CCTV·사고이력 분석으로 안심 경로를 제공(도시 안전정책 활용 가능)	① CCTV 설치/운영 현황(지자체) ② 범죄 발생/치안 통계(경찰·KOSIS 등) ③ 교통사고/보행사고 이력·위험구간(도로교통공단·지자체)	아이디어 기획
충청북도	2025	우수상	150		불끄미	전국민 세대·상황별 맞춤형 AI 화재 대피 경로 안내 서비스	재난문자·위치 기반으로 상황별 대피경로를 안내하는 스마트 재난대응 플랫폼(음성안내·보호자 연동 등 취약계층 접근성 포함)	① 재난문자(안전안내문자) 이력/발송정보(행안부) ② 화재 발생 통계·출동 이력(소방 관련 공개데이터) ③ 대피시설/민방위 대피소 위치(지자체·공공데이터포털)	아이디어 기획
충청북도	2025	장려상	50		승혜민	우리동네 분리수거	지역별 기준을 반영해 검색 시 맞춤형 분리배출 정보를 제공하는 모바일 서비스(지자체 분리배출 기준 활용)	① 지자체 분리배출 기준/품목별 처리 규정 ② 폐기물 처리시설·수거체계 정보(지자체) ③ 재활용품목 분류/코드 정보(환경부·공공데이터포털)	아이디어 기획
충청북도	2025	최우수상	500		㈜플롯퍼실리터스	항공 안전 정보 플랫폼 플라플라(fla-fla)	빅데이터·AI로 운항 예측/안전 정보를 시각화해 정보 비대칭을 줄이고 합리적 항공편 선택을 지원(여행·보험·렌터카 등 확장 가능)	① 항공편 운항 스케줄/운항현황(공항·항공 관련 공공데이터) ② 기상(공항 기상·특보) 데이터(기상청) ③ 항공 안전/사고·장애 통계(국토부·항공 관련 공개자료)	제품 및 서비스 개발
충청북도	2025	우수상	300		이정훈	전세사기 예방 LLM 기반 스마트 진단·분석 서비스	공공데이터+LLM으로 전세사기 위험을 진단하고 계약 전 주의사항을 안내(부동산 플랫폼 연계 확장)	① 부동산 실거래가(전월세·매매)(국토교통부) ② 등기/건축물대장 연계 가능 정보(정부24 등 공적장부 기반 공개·연계 데이터) ③ 전세사기·피해지원/주의지역 정보(지자체·유관기관 공개자료)	제품 및 서비스 개발
충청북도	2025	장려상	150		Portlt	작품 기반 청년 구직자-기업 연결 AI 구직·채용 플랫폼	포트폴리오(작품) 키워드를 분석해 맞춤 기업 추천을 자동화하고, 교육기관·지자체 연계(B2G) 및 SaaS 공급을 목표	① 기업/사업체 기본정보(사업체조사·기업통계)(통계청 등) ② 채용정보(공공 채용 포털 데이터)(예: 워크넷/공공기관 채용 공고) ③ 지역 산업/직업 분류·직종코드(KOSIS/직업분류 등)	제품 및 서비스 개발
고용노동부	2025	최우수상	200		이우석	SAFETY365	<공공데이터 기반 AI 위험성평가 지원시스템> ▸(AI 활용여부) 활용(챗GPT) ▸(개요) AI 활용 인천공항 위험 탐지 ▸(주요기능) 챗GPT 통한 과업내용서 자동분석 통한 위험요인과 개선대책 제공	산업재해 고위험요인 목록 등	아이디어 기획
고용노동부	2025	우수상	100		보노보노	CAIROS	<산업 위험도 중심의 계층적 안전 전략 체계> ▸(AI 활용여부) 활용(멀티모달) ▸(개요) 유형별 산업재해 개선 전략 서비스 ▸(주요기능) AI 통한 법령·지침 등 정보를 요약하여 안전 전략 보고서 제공	산업재해 통계, 산업안전 실태조사 데이터 등	아이디어 기획
고용노동부	2025	우수상	100		꽃가람인력	잡라이트(JobRight)	<근로 생애주기별 맟춤 권익보호 서비스> ▸(AI 활용여부) 활용(챗봇) ▸(개요) 청소년 노동자 권익보호 플랫폼 ▸(주요기능) 맞춤 정보 제공, 노동 관련 정보 제공 도우미, 권익 보호 관련 일반 정보 안내 	일자리종합정보 등	아이디어 기획
고용노동부	2025	장려상	50		김유심	K Worker Harmony	<고용허가제 대상 외국인 노동자와 고용주 플랫폼> ▸(AI 활용여부) 활용(챗봇) ▸(개요) 노동법 정보 안내 챗봇을 통한 노동 분쟁 예방 ▸(주요기능) 노동법 Q&amp;A 챗봇, 근로계약서 구성요소 설명 및 자율점검 항목 제시	외국인고용 교육시설 정보 등	아이디어 기획
고용노동부	2025	장려상	50		당근과 채찍	내일분석소	<K-디지털트레이닝 훈련과정 플랫폼> ▸(AI 활용여부) 활용(챗봇) ▸(개요) 훈련 선택 실효성 제고 플랫폼 ▸(주요기능) 훈련과정 취업률 예측 서비스, 훈련기관 평가 서비스 등	국민내일배움카드 훈련과정 등	아이디어 기획
